id_region;region;id_system;system;european_zone;utc_in_data;utc_before_oct2010;utc_after_oct2010;utc_after_DST2011;utc_after_DST2014;local_change;local_date;local_new_utc
47;Мурманская область;840000;northwest;1;3;4;3;4;3;0;;
58;Псковская область;840000;northwest;1;3;4;3;4;3;0;;
41;Ленинградская область;840000;northwest;1;3;4;3;4;3;0;;
49;Новгородская область;840000;northwest;1;3;4;3;4;3;0;;
87;Республика Коми;840000;northwest;1;3;4;3;4;3;0;;
11;Архангельская область;840000;northwest;1;3;4;3;4;3;0;;
86;Республика Карелия;840000;northwest;1;3;4;3;4;3;0;;
27;Калининградская область;840000;northwest;1;3;3;2;3;2;0;;
98;Южно-Якутский энергорайон;540000;east;0;3;12;11;12;11;0;;
5;Приморский край;540000;east;0;3;11;10;11;10;0;;
8;ОЭР Хабаровского края;540000;east;0;3;11;10;11;10;0;;
10;Амурская область;540000;east;0;3;10;11;10;11;0;;
99;Еврейская автономная область;540000;east;0;3;11;10;11;10;0;;
101;Центральный энергорайон Якутии;540000;east;0;3;11;10;11;10;0;;
100;Западный энергорайон Якутии;540000;east;0;3;10;9;10;9;0;;
50;Новосибирская область;610000;siberia;0;3;7;6;7;6;1;24.07.2016;7
32;Кемеровская область;610000;siberia;0;3;7;6;7;7;0;;
81;Республика Бурятия;610000;siberia;0;3;9;8;9;8;0;;
25;Иркутская область;610000;siberia;0;3;9;8;9;8;0;;
95;Республика Хакасия;610000;siberia;0;3;8;7;8;7;0;;
4;Красноярский край;610000;siberia;0;3;8;7;8;7;0;;
1;Алтайский край;610000;siberia;0;3;7;6;7;6;1;27.03.2016;7
76;Забайкальский край;610000;siberia;0;3;10;9;10;8;1;27.03.2016;9
52;Омская область;610000;siberia;0;3;7;6;7;6;0;;
93;Республика Тыва;610000;siberia;0;3;8;6;8;7;0;;
69;Томская область;610000;siberia;0;3;7;6;7;6;1;29.05.2016;7
24;Ивановская область;530000;center;1;3;4;3;4;3;0;;
66;Смоленская область;530000;center;1;3;4;3;4;3;0;;
17;Владимирская область;530000;center;1;3;4;3;4;3;0;;
19;Вологодская область;530000;center;1;3;4;3;4;3;0;;
70;Тульская область;530000;center;1;3;4;3;4;3;0;;
78;Ярославская область;530000;center;1;3;4;3;4;3;0;;
15;Брянская область;530000;center;1;3;4;3;4;3;0;;
29;Калужская область;530000;center;1;3;4;3;4;3;0;;
34;Костромская область;530000;center;1;3;4;3;4;3;0;;
14;Белгородская область;530000;center;1;3;4;3;4;3;0;;
54;Орловская область;530000;center;1;3;4;3;4;3;0;;
61;Рязанская область;530000;center;1;3;4;3;4;3;0;;
28;Тверская область;530000;center;1;3;4;3;4;3;0;;
68;Тамбовская область;530000;center;1;3;4;3;4;3;0;;
20;Воронежская область;530000;center;1;3;4;3;4;3;0;;
38;Курская область;530000;center;1;3;4;3;4;3;0;;
42;Липецкая область;530000;center;1;3;4;3;4;3;0;;
46;Московская область;530000;center;1;3;4;3;4;3;0;;
75;Челябинская область;630000;ural;1;3;6;5;6;5;0;;
33;Кировская область;630000;ural;1;3;4;3;4;3;0;;
53;Оренбургская область;630000;ural;1;3;6;5;6;5;0;;
37;Курганская область;630000;ural;1;3;6;5;6;5;0;;
94;Удмуртская Республика;630000;ural;1;3;4;3;4;4;0;;
71;Тюменская область;630000;ural;1;3;6;5;6;5;0;;
65;Свердловская область;630000;ural;1;3;6;5;6;5;0;;
80;Республика Башкортостан;630000;ural;1;3;6;5;6;5;0;;
57;Пермский край;630000;ural;1;3;6;5;6;5;0;;
56;Пензенская область;600000;middlevolga;1;3;4;3;4;3;0;;
92;Республика Татарстан (Татарстан);600000;middlevolga;1;3;4;3;4;3;0;;
97;Чувашская Республика - Чувашия;600000;middlevolga;1;3;4;3;4;3;0;;
22;Нижегородская область;600000;middlevolga;1;3;4;3;4;3;0;;
73;Ульяновская область;600000;middlevolga;1;3;4;3;4;3;1;27.03.2016;4
88;Республика Марий Эл;600000;middlevolga;1;3;4;3;4;3;0;;
36;Самарская область;600000;middlevolga;1;3;4;3;4;4;0;;
89;Республика Мордовия;600000;middlevolga;1;3;4;3;4;3;0;;
63;Саратовская область;600000;middlevolga;1;3;4;3;4;3;1;04.12.2016;4
85;Республика Калмыкия;550000;south;1;3;4;3;4;3;0;;
26;Республика Ингушетия;550000;south;1;3;4;3;4;3;0;;
96;Чеченская Республика;550000;south;1;3;4;3;4;3;0;;
90;Республика Северная Осетия-Алания;550000;south;1;3;4;3;4;3;0;;
91;Карачаево-Черкесская Республика;550000;south;1;3;4;3;4;3;0;;
12;Астраханская область;550000;south;1;3;4;3;4;3;1;27.03.2016;4
3;Краснодарский край;550000;south;1;3;4;3;4;3;0;;
7;Ставропольский край;550000;south;1;3;4;3;4;3;0;;
83;Кабардино-Балкарская Республика;550000;south;1;3;4;3;4;3;0;;
60;Ростовская область;550000;south;1;3;4;3;4;3;0;;
82;Республика Дагестан;550000;south;1;3;4;3;4;3;0;;
18;Волгоградская область;550000;south;1;3;4;3;4;3;1;28.10.2018;4
35;Республика Крым;550000;south;1;3;3;2;4;3;1;30.03.2014;
